BenchmarkCode,DateFrom,DateTo,Performance
JB01,2005-01-01,2005-01-31,0.1152406186
JB01,2005-02-01,2005-02-28,43.7122296102
JB01,2005-03-01,2005-03-31,-6.5078106215
JB01,2005-04-01,2005-04-30,-7.3677450905
JB01,2005-05-01,2005-05-31,-16.7630069854
JB01,2005-06-01,2005-06-30,2.6666666178
JB01,2005-07-01,2005-07-31,1.1228354268
JB01,2005-08-01,2005-08-31,-7.7993306240
JB01,2005-09-01,2005-09-30,0.2321524285
JB01,2005-10-01,2005-10-31,0.4342774457
JB01,2005-11-01,2005-11-30,-1.2683775482
JB01,2005-12-01,2005-12-31,1.3430663812
JB01,2006-01-01,2006-01-31,0.1152402187
JB01,2006-02-01,2006-02-28,0.0000000028
JB01,2006-03-01,2006-03-31,-7.3381299485
JB01,2006-04-01,2006-04-30,-0.2329189882
JB01,2006-05-01,2006-05-31,0.1556423425
JB01,2006-06-01,2006-06-30,-0.0000022000
JB01,2006-07-01,2006-07-31,0.1553988373
JB01,2006-08-01,2006-08-31,-2.3273858392
JB01,2006-09-01,2006-09-30,-6.7513910994
JB01,2006-10-01,2006-10-31,-2.1294736580
JB01,2006-11-01,2006-11-30,-5.4830288546
JB01,2006-12-01,2006-12-31,0.1841617131
JB01,2007-01-01,2007-01-31,0.3676482641
JB01,2007-02-01,2007-02-28,0.6410255808
JB01,2007-03-01,2007-03-31,0.0909907612
JB01,2007-04-01,2007-04-30,0.0000006612
JB01,2007-05-01,2007-05-31,0.0000011203
JB01,2007-06-01,2007-06-30,0.0000000000
JB01,2007-07-01,2007-07-31,-0.0909089106
JB01,2007-08-01,2007-08-31,0.0727934661
JB01,2007-09-01,2007-09-30,-0.8001472424
JB01,2007-10-01,2007-10-31,-0.2749764003
JB01,2007-11-01,2007-11-30,-0.8272060168
JB01,2007-12-01,2007-12-31,1.4643201562
JB01,2008-01-01,2008-01-31,0.2557528579
JB01,2008-02-01,2008-02-29,-0.0546642652
JB01,2008-03-01,2008-03-31,-0.0000004257
JB01,2008-04-01,2008-04-30,0.0911562993
JB01,2008-05-01,2008-05-31,0.1821498269
JB01,2008-06-01,2008-06-30,-0.0000012616
JB01,2008-07-01,2008-07-31,-9.9999998440
JB01,2008-08-01,2008-08-31,-0.1212120079
JB01,2008-09-01,2008-09-30,0.1213595403
JB01,2008-10-01,2008-10-31,-0.3838368289
JB01,2008-11-01,2008-11-30,-0.0000010618
JB01,2008-12-01,2008-12-31,1.7846293803
JB01,2009-01-01,2009-01-31,-0.7571230473
JB01,2009-02-01,2009-02-28,0.2208387906
JB01,2009-03-01,2009-03-31,0.6610569622
JB01,2009-04-01,2009-04-30,-0.0000000995
JB01,2009-05-01,2009-05-31,0.0000015660
JB01,2009-06-01,2009-06-30,0.4975135089
JB01,2009-07-01,2009-07-31,-0.0000020480
JB01,2009-08-01,2009-08-31,0.3366329503
JB01,2009-09-01,2009-09-30,0.1578830594
JB01,2009-10-01,2009-10-31,-0.0000009934
JB01,2009-11-01,2009-11-30,-0.1576365701
JB01,2009-12-01,2009-12-31,0.6512722397
JB01,2010-01-01,2010-01-31,9.3137254227
JB01,2010-02-01,2010-02-28,-0.0000021034
JB01,2010-03-01,2010-03-31,0.8968606979
JB01,2010-04-01,2010-04-30,0.8888896320
JB01,2010-05-01,2010-05-31,0.4405269478
JB01,2010-06-01,2010-06-30,0.4385994013
JB01,2010-07-01,2010-07-31,1.7467260026
JB01,2010-08-01,2010-08-31,3.1416324947
JB01,2010-09-01,2010-09-30,0.2829556750
JB01,2010-10-01,2010-10-31,-0.9626523851
JB01,2010-11-01,2010-11-30,-0.7038718020
JB01,2010-12-01,2010-12-31,0.5569600741
JB01,2011-01-01,2011-01-31,-0.4196035805
JB01,2011-02-01,2011-02-28,0.0000012300
JB01,2011-03-01,2011-03-31,0.2865341199
JB01,2011-04-01,2011-04-30,0.0000011375
JB01,2011-05-01,2011-05-31,0.0000002960
JB01,2011-06-01,2011-06-30,0.1344547952
JB01,2011-07-01,2011-07-31,2.9372276721
JB01,2011-08-01,2011-08-31,-0.1304420464
JB01,2011-09-01,2011-09-30,0.1306110739
JB01,2011-10-01,2011-10-31,0.1467459819
JB01,2011-11-01,2011-11-30,2.0351667634
JB01,2011-12-01,2011-12-31,1.9945746136
JB01,2012-01-01,2012-01-31,5.6007527247
JB01,2012-02-01,2012-02-29,0.6222251653
JB01,2012-03-01,2012-03-31,3.5482922658
JB01,2012-04-01,2012-04-30,0.5971833319
JB01,2012-05-01,2012-05-31,0.1130741036
JB01,2012-06-01,2012-06-30,0.2400112821
JB01,2012-07-01,2012-07-31,0.0000007929
JB01,2012-08-01,2012-08-31,0.2394372924
JB01,2012-09-01,2012-09-30,0.0000006091
JB01,2012-10-01,2012-10-31,-0.1264577011
JB01,2012-11-01,2012-11-30,0.1266197827
JB01,2012-12-01,2012-12-31,0.0000002776
JB01,2013-01-01,2013-01-31,-0.0000008042
JB01,2013-02-01,2013-02-28,-0.4777290143
JB01,2013-03-01,2013-03-31,0.3529580009
JB01,2013-04-01,2013-04-30,0.1266184588
JB01,2013-05-01,2013-05-31,-0.1264582051
JB01,2013-06-01,2013-06-30,-0.3517159702
JB01,2013-07-01,2013-07-31,-3.6425248187
JB01,2013-08-01,2013-08-31,-0.1172158433
JB01,2013-09-01,2013-09-30,-0.2493768075
JB01,2013-10-01,2013-10-31,0.6176465117
JB01,2013-11-01,2013-11-30,0.2338483604
JB01,2013-12-01,2013-12-31,0.7290763667
JB01,2014-01-01,2014-01-31,-0.1158073698
JB01,2014-02-01,2014-02-28,-0.1159445328
JB01,2014-03-01,2014-03-31,-3.7579803424
JB01,2014-04-01,2014-04-30,0.6331979186
JB01,2014-05-01,2014-05-31,-0.0000017427
JB01,2014-06-01,2014-06-30,0.8689130083
JB01,2014-07-01,2014-07-31,0.0000014457
JB01,2014-08-01,2014-08-31,0.1336698587
JB01,2014-09-01,2014-09-30,0.4894698729
JB01,2014-10-01,2014-10-31,0.2509248726
JB01,2014-11-01,2014-11-30,2.3262661883
JB01,2014-12-01,2014-12-31,0.1151076972
JB01,2015-01-01,2015-01-31,-14.7312451574
JB01,2015-02-01,2015-02-28,0.0000002382
JB01,2015-03-01,2015-03-31,0.2865330000
JB01,2015-04-01,2015-04-30,0.0000004646
JB01,2015-05-01,2015-05-31,0.0000000000
JB01,2015-06-01,2015-06-30,0.1344540000
JB01,2015-07-01,2015-07-31,2.9372271532
JB01,2015-08-01,2015-08-31,-0.1304420000
JB01,2015-09-01,2015-09-30,0.1306120000
JB01,2015-10-01,2015-10-31,0.1467470000
JB01,2015-11-01,2015-11-30,2.0351678612
JB01,2015-12-01,2015-12-31,1.9945755591
JB01,2016-01-01,2016-01-31,5.6007504060
JB01,2016-02-01,2016-02-29,0.6222230040
JB01,2016-03-01,2016-03-31,3.5482920590
JB01,2016-04-01,2016-04-30,0.5971838461
JB01,2016-05-01,2016-05-31,0.1130740000
JB01,2016-06-01,2016-06-30,0.2400113331
JB01,2016-07-01,2016-07-31,0.0000000000
JB01,2016-08-01,2016-08-31,0.2394363338
JB01,2016-09-01,2016-09-30,-0.0000001186
JB01,2016-10-01,2016-10-31,-0.1264580000
JB01,2016-11-01,2016-11-30,0.1266180000
JB01,2016-12-01,2016-12-31,-0.0000001186
JB01,2017-01-01,2017-01-31,0.0000000000
JB01,2017-02-01,2017-02-28,-0.4777300784
JB01,2017-03-01,2017-03-31,0.3529584733
JB01,2017-04-01,2017-04-30,0.1266180000
JB01,2017-05-01,2017-05-31,-0.1264580000
JB01,2017-06-01,2017-06-30,-0.3517165161
JB01,2017-07-01,2017-07-31,-3.6425246054
JB01,2017-08-01,2017-08-31,-0.1172160000
JB01,2017-09-01,2017-09-30,-0.2493759566
JB01,2017-10-01,2017-10-31,0.6176466599
JB01,2017-11-01,2017-11-30,0.2338495544
JB01,2017-12-01,2017-12-31,0.7290763905
JB01,2018-01-01,2018-01-31,-0.1158075183
JB01,2018-02-01,2018-02-28,-0.1159420000
JB01,2018-03-01,2018-03-31,-3.7579796750
JB01,2018-04-01,2018-04-30,0.6331973540
JB01,2018-05-01,2018-05-31,0.0000000000
JB01,2018-06-01,2018-06-30,0.8689135733
JB01,2018-07-01,2018-07-31,0.0000000000
JB01,2018-08-01,2018-08-31,0.1336693657
JB01,2018-09-01,2018-09-30,0.4894687316
JB01,2018-10-01,2018-10-31,0.2509228567
JB01,2018-11-01,2018-11-30,2.3262662202
JB01,2018-12-01,2018-12-31,0.1151076979
JB01,2019-01-01,2019-01-31,0.2443230000
JB03,2005-01-01,2005-01-31,-0.1244987114
JB03,2005-02-01,2005-02-28,35.0415531214
JB03,2005-03-01,2005-03-31,-9.7025634170
JB03,2005-04-01,2005-04-30,-6.4288959788
JB03,2005-05-01,2005-05-31,-12.8065071478
JB03,2005-06-01,2005-06-30,5.4573290575
JB03,2005-07-01,2005-07-31,1.3201333302
JB03,2005-08-01,2005-08-31,-7.0618891922
JB03,2005-09-01,2005-09-30,-1.6262458740
JB03,2005-10-01,2005-10-31,3.2064982693
JB03,2005-11-01,2005-11-30,-0.2347424503
JB03,2005-12-01,2005-12-31,0.0553624125
JB03,2006-01-01,2006-01-31,-0.1244978827
JB03,2006-02-01,2006-02-28,-0.4847627494
JB03,2006-03-01,2006-03-31,-7.1677108766
JB03,2006-04-01,2006-04-30,-1.0494740900
JB03,2006-05-01,2006-05-31,0.1515137320
JB03,2006-06-01,2006-06-30,0.0756429794
JB03,2006-07-01,2006-07-31,-0.7558564212
JB03,2006-08-01,2006-08-31,-2.8941371967
JB03,2006-09-01,2006-09-30,-5.4901981937
JB03,2006-10-01,2006-10-31,-1.8257274908
JB03,2006-11-01,2006-11-30,-6.1707534008
